product_id,previous_description_html
4722349113433,<p>Collectible Photograph featuring: USS Enterprise from Star Trek. This piece of memorabilia measures 39 x 27 inches and is museum framed. Own this Piece of Movie and Television History!</p><p>Photos shown are our catalogue images.</p>
4726353789017,"<p>Autographed 11x14 Photograph signed by: Bower, Mahovlich, Kelly, M. Richard and T. Kennedy from Toronto Maple Leafs and Montreal Canadiens. This piece of memorabilia measures 14 x 11 inches. Comes with Certificate of Authenticity and Hologram. Own this Piece of Hockey History!</p><p>Photos shown are our catalogue images.</p>"
4726354182233,<p>Autographed 8x10 Photograph signed by: Johnny Bower from Toronto Maple Leafs. This piece of memorabilia measures 10 x 8 inches. Comes with Certificate of Authenticity and Hologram. Own this Piece of Hockey History!</p><p>Photos shown are our catalogue images.</p>
4726354444377,<p>Autographed 8x10 Photograph signed by: Bobby Hull from Chicago Blackhawks. This piece of memorabilia measures 10 x 8 inches. Comes with Certificate of Authenticity and Hologram. Own this Piece of Hockey History!</p><p>Photos shown are our catalogue images.</p>
4726354477145,<p>Autographed 8x10 Photograph signed by: Bobby Hull from Chicago Blackhawks. This piece of memorabilia measures 10 x 8 inches. Comes with Certificate of Authenticity and Hologram. Own this Piece of Hockey History!</p><p>Photos shown are our catalogue images.</p>
4726354870361,<p>Autographed 8x10 Photograph signed by: Sid Abel and Ted Lindsay from Detroit Red Wings. This piece of memorabilia measures 10 x 8 inches. Comes with Certificate of Authenticity and Hologram. Own this Piece of Hockey History!</p><p>Photos shown are our catalogue images.</p>
4726355198041,<p>Collectible Trading Card featuring: Carlos Delgado from Toronto Blue Jays. This piece of memorabilia measures 3.5 x 2.5 inches. Own this Piece of Baseball History!</p><p></p><p>Photos shown are our catalogue images.</p>
4726355591257,<p>Autographed Lithograph signed by: Bobby Hull from Chicago Blackhawks. This item is a limited edition of 90. This piece of memorabilia measures 22 x 18 inches. Comes with Certificate of Authenticity and Hologram. Own this Piece of Hockey History!</p><p>Photos shown are our catalogue images.</p>
4726355689561,"<p>Autographed Lithograph signed by: Bower, Cheevers, Hall and Worsely from Original Six. This item is a limited edition of 197. This piece of memorabilia measures 24 x 20 inches. Comes with Certificate of Authenticity and Hologram. Own this Piece of Hockey History!</p><p>Photos shown are our catalogue images.</p>"
4755768475737,"<p>This 8x10 photo features Toronto Maple Leaf star and fan favourite, Doug Gilmour. The photo is hand autographed, with Hologram and Certificate of Authenticity. Own this Piece of Hockey History!</p><p>Photos shown are our catalogue images.</p>"
4755768508505,<p>Autographed 8x10 Photograph signed by: Bobby Hull from Chicago Blackhawks. This piece of memorabilia measures 10 x 8 inches. Comes with Certificate of Authenticity and Hologram. Own this Piece of Hockey History!</p><p>Photos shown are our catalogue images.</p>
4755768541273,<p>Autographed 8x10 Photograph signed by: Bobby Hull and Guy Lafleur from Chicago Blackhawks. This piece of memorabilia measures 10 x 8 inches. Comes with Certificate of Authenticity and Hologram. Own this Piece of Hockey History!</p><p>Photos shown are our catalogue images.</p>
4755768737881,<p>Autographed Lithograph signed by: Bobby Hull from Chicago Blackhawks. This piece of memorabilia measures 13 x 11 inches. Comes with Certificate of Authenticity and Hologram. Own this Piece of Hockey History!</p><p>Photos shown are our catalogue images.</p>
4755768836185,"<p>Autographed Lithograph signed by: Bower, Worsley, Hall and Cheevers from Maple Leafs, NY Rangers, Blackhawks and Boston Bruins. This piece of memorabilia measures 11 x 9 inches. Comes with Certificate of Authenticity and Hologram. Own this Piece of Hockey History!</p><p>Photos shown are our catalogue images.</p>"
4755768901721,<p>Collectible Lithograph featuring: Mark Messier from Edmonton Oilers. This item is a limited edition of 1111. This piece of memorabilia measures 25 x 20 inches. Own this Piece of Hockey History!</p><p>Photos shown are our catalogue images.</p>
4755769065561,<p>Autographed Lithograph signed by: Johnny Bower and Gerry Cheevers from Toronto Maple Leafs and Boston Bruins. This piece of memorabilia measures 11.5 x 10.25 inches. Comes with Certificate of Authenticity and Hologram. Own this Piece of Hockey History!</p><p>Photos shown are our catalogue images.</p>
6591925944409,"<p>Collectible Painting featuring: Iron Man, Captain America, Spider-Man, Hulk, Wolverine, Deadpool, Venom, Batman, Superman and The Flash from Marvel and DC. This piece of memorabilia measures 33.5 x 23.5 inches and is museum framed. Own this Piece of Comics History!</p><p>Photos shown are our catalogue images.</p>"
6591926698073,<p>Collectible Painting featuring: AC/DC from AC/DC. This piece of memorabilia measures 33.5 x 23.5 inches and is museum framed. Own this Piece of Music History!</p><p>Photos shown are our catalogue images.</p>
6591926730841,<p>Collectible Painting featuring: Bon Jovi from Bon Jovi. This piece of memorabilia measures 33.5 x 23.5 inches and is museum framed. Own this Piece of Music History!</p><p>Photos shown are our catalogue images.</p>
6591926763609,<p>Collectible Painting featuring: Eddie Van Halen and Van Halen from Van Halen. This piece of memorabilia measures 33.5 x 23.5 inches and is museum framed. Own this Piece of Music History!</p><p>Photos shown are our catalogue images.</p>
6591926796377,<p>Collectible Painting featuring: Guns 'N Roses from Guns 'N Roses. This piece of memorabilia measures 33.5 x 23.5 inches and is museum framed. Own this Piece of Music History!</p><p>Photos shown are our catalogue images.</p>
6591926861913,<p>Collectible Painting featuring: Kiss from Kiss. This piece of memorabilia measures 33.5 x 23.5 inches and is museum framed. Own this Piece of Music History!</p><p>Photos shown are our catalogue images.</p>
6591926992985,<p>Collectible Painting featuring: Prince from Prince. This piece of memorabilia measures 33.5 x 23.5 inches and is museum framed. Own this Piece of Music History!</p><p>Photos shown are our catalogue images.</p>
6591927222361,<p>Collectible Painting featuring: The Doors and Jim Morrison from The Doors. This piece of memorabilia measures 33.5 x 23.5 inches and is museum framed. Own this Piece of Music History!</p><p>Photos shown are our catalogue images.</p>
6591927255129,<p>Collectible Painting featuring: The Rolling Stones from The Rolling Stones. This piece of memorabilia measures 33.5 x 23.5 inches and is museum framed. Own this Piece of Music History!</p><p>Photos shown are our catalogue images.</p>
6600272478297,"<p>Capture the unforgettable moment of Kobe Bryant dunking on LeBron James with this museum-framed collectible. Featuring the legendary Lakers star, this framed canvas measures 33.5 x 23.5 inches. Add this historic piece of basketball memorabilia to your collection.</p><p>Photos shown are our catalogue images.</p>"
